name;article;product_code;availability;image
DT360CA - Температурный контроллер 96x96 мм, аналоговый выход (4…20 мА), питание 80-260 В AC;DT360CA;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
DT340VD-0200 - Температурный контроллер 48x96 мм, импульсное напряжение (12 В) на выходе;DT340VD-0200;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
DT340VA-V220 - Температурный контроллер 48x96 мм, два выхода импульсного напряжения (12 В);DT340VA-V220;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
DT340VA-V211 - Температурный контроллер 48x96 мм, два выхода импульсного напряжения (12 В);DT340VA-V211;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
DT340VA-V200 - Температурный контроллер 48x96 мм, два выхода импульсного напряжения (12 В);DT340VA-V200;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
DT340VA-R220 - Температурный контроллер 48x96 мм, импульсное напряжение (12 В) на выходе;DT340VA-R220;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
DT340VA-R211 - Температурный контроллер 48x96 мм, импульсное напряжение (12 В) на выходе;DT340VA-R211;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
DT340VA-R200 - Температурный контроллер 48x96 мм, импульсное напряжение (12 В) на выходе;DT340VA-R200;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
DT340VA-0200 - Температурный контроллер 48x96 мм, импульсное напряжение (12 В) на выходе;DT340VA-0200;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
DT340VA - Температурный контроллер 48x96 мм, импульсное напряжение (12 В) на выходе;DT340VA;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
DT340RD-0200 - Температурный контроллер 48x96 мм, релейный выход, питание 24 В DC;DT340RD-0200;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
DT360LA-0200 - Температурный контроллер 96x96 мм, аналоговый выход (0...10 В), питание 80-260 В AC;DT360LA-0200;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
DT340RA-R220 - Температурный контроллер 48x96 мм, два релейных выхода, питание 80-260 В AC;DT340RA-R220;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
DT340RA-R211 - Температурный контроллер 48x96 мм, два релейных выхода, питание 80-260 В AC;DT340RA-R211;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
DT340RA-R200 - Температурный контроллер 48x96 мм, два релейных выхода, питание 80-260 В AC;DT340RA-R200;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
DT340RA-0200 - Температурный контроллер 48x96 мм, релейный выход, питание 80-260 В AC;DT340RA-0200;;Под заказ;https://intelka-shop.ru/proizvoditeli/delta/?section=19#
